Id,Label,kingdom,phylum,class,order,family,genus,species,category,taxon,aggregate
Coleonyx variegatus,,Animalia,Chordata,Reptilia,Squamata,Eublepharidae,Coleonyx,Coleonyx variegatus,vert.ecto,Reptile,Coleonyx variegatus
Uma scoparia,,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Uma,Uma scoparia,vert.ecto,Reptile,Uma scoparia
Rena humilis,,Animalia,Chordata,Reptilia,Squamata,Leptotyphlopidae,Rena,Rena humilis,vert.ecto,Reptile,Rena humilis
Cophosaurus texanus,,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Cophosaurus,Cophosaurus texanus,vert.ecto,Reptile,Cophosaurus texanus
Urosaurus graciosus,,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Urosaurus,Urosaurus graciosus,vert.ecto,Reptile,Urosaurus graciosus
Aspidoscelis tigris,,Animalia,Chordata,Reptilia,Squamata,Teiidae,Aspidoscelis,Aspidoscelis tigris,vert.ecto,Reptile,Aspidoscelis tigris
Callisaurus draconoides,,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Callisaurus,Callisaurus draconoides,vert.ecto,Reptile,Callisaurus draconoides
Sceloporus magister,,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Sceloporus,Sceloporus magister,vert.ecto,Reptile,Sceloporus magister
Crotaphytus bicinctores,,Animalia,Chordata,Reptilia,Squamata,Crotaphytidae,Crotaphytus,Crotaphytus bicinctores,vert.ecto,Reptile,Crotaphytus bicinctores
Chionactis annulata,,Animalia,Chordata,Reptilia,Squamata,Colubridae,Chionactis,Chionactis annulata,vert.ecto,Reptile,Chionactis annulata
Sonora occipitalis,,Animalia,Chordata,Reptilia,Squamata,Colubridae,Sonora,Sonora occipitalis,vert.ecto,Reptile,Sonora occipitalis
Sonora semiannulata,,Animalia,Chordata,Reptilia,Squamata,Colubridae,Sonora,Sonora semiannulata,vert.ecto,Reptile,Sonora semiannulata
Tantilla hobartsmithi,,Animalia,Chordata,Reptilia,Squamata,Colubridae,Tantilla,Tantilla hobartsmithi,vert.ecto,Reptile,Tantilla hobartsmithi
Accipiter gentilis,,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter gentilis,vert.endo,Bird,Accipiter gentilis
Accipiter striatus,,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter striatus,vert.endo,Bird,Accipiter striatus
Athene cunicularia,,Animalia,Chordata,Aves,Strigiformes,Strigidae,Athene,Athene cunicularia,vert.endo,Bird,Athene cunicularia
Buteo swainsoni,,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo swainsoni,vert.endo,Bird,Buteo swainsoni
Corvus corax,,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus corax,vert.endo,Bird,Corvus corax
Falco mexicanus,,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco mexicanus,vert.endo,Bird,Falco mexicanus
Falco peregrinus,,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco peregrinus,vert.endo,Bird,Falco peregrinus
Megascops kennicottii,,Animalia,Chordata,Aves,Strigiformes,Strigidae,Megascops,Megascops kennicottii,vert.endo,Bird,Megascops kennicottii
Agelaius phoeniceus,,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,Agelaius phoeniceus,vert.endo,Bird,Agelaius phoeniceus
Aimophila ruficeps,,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Aimophila,Aimophila ruficeps,vert.endo,Bird,Aimophila ruficeps
Alectoris chukar,,Animalia,Chordata,Aves,Galliformes,Phasianidae,Alectoris,Alectoris chukar,vert.endo,Bird,Alectoris chukar
Amphispiza bilineata,,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Amphispiza,Amphispiza bilineata,vert.endo,Bird,Amphispiza bilineata
Aphelocoma woodhouseii,,Animalia,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,Aphelocoma woodhouseii,vert.endo,Bird,Aphelocoma woodhouseii
Archilochus alexandri,,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,Archilochus alexandri,vert.endo,Bird,Archilochus alexandri
Artemisiospiza nevadensis,,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Artemisiospiza,Artemisiospiza nevadensis,vert.endo,Bird,Artemisiospiza nevadensis
Auriparus flaviceps,,Animalia,Chordata,Aves,Passeriformes,Remizidae,Auriparus,Auriparus flaviceps,vert.endo,Bird,Auriparus flaviceps
Baeolophus inornatus,,Animalia,Chordata,Aves,Passeriformes,Paridae,Baeolophus,Baeolophus inornatus,vert.endo,Bird,Baeolophus inornatus
Baeolophus ridgwayi,,Animalia,Chordata,Aves,Passeriformes,Paridae,Baeolophus,Baeolophus ridgwayi,vert.endo,Bird,Baeolophus ridgwayi
Callipepla californica,,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Callipepla,Callipepla californica,vert.endo,Bird,Callipepla californica
Callipepla gambelii,,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Callipepla,Callipepla gambelii,vert.endo,Bird,Callipepla gambelii
Calypte anna,,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calypte,Calypte anna,vert.endo,Bird,Calypte anna
Calypte costae,,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calypte,Calypte costae,vert.endo,Bird,Calypte costae
Campylorhynchus brunneicapillus,,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Campylorhynchus,Campylorhynchus brunneicapillus,vert.endo,Bird,Campylorhynchus brunneicapillus
Catharus guttatus,,Animalia,Chordata,Aves,Passeriformes,Turdidae,Catharus,Catharus guttatus,vert.endo,Bird,Catharus guttatus
Catharus ustulatus,,Animalia,Chordata,Aves,Passeriformes,Turdidae,Catharus,Catharus ustulatus,vert.endo,Bird,Catharus ustulatus
Certhia americana,,Animalia,Chordata,Aves,Passeriformes,Certhiidae,Certhia,Certhia americana,vert.endo,Bird,Certhia americana
Chamaea fasciata,,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Chamaea,Chamaea fasciata,vert.endo,Bird,Chamaea fasciata
Chondestes grammacus,,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Chondestes,Chondestes grammacus,vert.endo,Bird,Chondestes grammacus
Colaptes auratus,,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes auratus,vert.endo,Bird,Colaptes auratus
Colaptes chrysoides,,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes chrysoides,vert.endo,Bird,Colaptes chrysoides
Columba livia,,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,Columba livia,vert.endo,Bird,Columba livia
Columbina inca,,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columbina,Columbina inca,vert.endo,Bird,Columbina inca
Corvus brachyrhynchos,,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus brachyrhynchos,vert.endo,Bird,Corvus brachyrhynchos
Cyanocitta stelleri,,Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanocitta,Cyanocitta stelleri,vert.endo,Bird,Cyanocitta stelleri
Dryobates pubescens,,Animalia,Chordata,Aves,Piciformes,Picidae,Dryobates,Dryobates pubescens,vert.endo,Bird,Dryobates pubescens
Dryobates scalaris,,Animalia,Chordata,Aves,Piciformes,Picidae,Dryobates,Dryobates scalaris,vert.endo,Bird,Dryobates scalaris
Eremophila alpestris,,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Eremophila,Eremophila alpestris,vert.endo,Bird,Eremophila alpestris
Euphagus cyanocephalus,,Animalia,Chordata,Aves,Passeriformes,Icteridae,Euphagus,Euphagus cyanocephalus,vert.endo,Bird,Euphagus cyanocephalus
Gymnorhinus cyanocephalus,,Animalia,Chordata,Aves,Passeriformes,Corvidae,Gymnorhinus,Gymnorhinus cyanocephalus,vert.endo,Bird,Gymnorhinus cyanocephalus
Haemorhous cassinii,,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,Haemorhous cassinii,vert.endo,Bird,Haemorhous cassinii
